CBSA,CBSA_NAME,HISPANIC_POP,POPULATION,BUSINESSES
16660,"Charleston-Mattoon, IL",1213,63608,1377
19980,"Dodge City, KS",17273,33617,760
14620,"Bradford, PA",757,43138,1054
20700,"East Stroudsburg, PA",22032,169279,3397
47080,"Vidalia, GA",3640,37629,792
42740,"Sedalia, MO",3062,41721,1034
34180,"Moses Lake, WA",33560,88460,1715
24740,"Greenville, MS",535,51464,1204
15020,"Brookhaven, MS",279,31373,740
13180,"Beaver Dam, WI",3593,91440,1870
29940,"Lawrence, KS",5674,111102,2599
36840,"Ottawa, KS",944,26814,571
16940,"Cheyenne, WY",11978,91757,2792
22280,"Fernley, NV",7462,52688,611
37100,"Oxnard-Thousand Oaks-Ventura, CA",331843,827963,20357
26220,"Hood River, OR",6590,22480,945
18700,"Corvallis, OR",5205,78600,1952
40580,"Rocky Mount, NC",8660,155220,2922
27700,"Jesup, GA",1710,29938,540
45220,"Tallahassee, FL",21331,367804,8538
35820,"North Platte, NE",2616,37357,1064
21220,"Elko, NV",11418,51147,1106
22420,"Flint, MI",13418,442879,8004
16380,"Celina, OH",621,40909,938
39700,"Raymondville, TX",19411,22286,198
26020,"Hobbs, NM",33063,64727,1587
18500,"Corning, NY",1342,97631,1771
11540,"Appleton, WI",8001,220325,5814
48300,"Wenatchee, WA",29465,109877,3038
49420,"Yakima, WA",109938,244131,4580
25500,"Harrisonburg, VA",11813,128418,2975
44420,"Staunton-Waynesboro, VA",3285,114441,2714
24780,"Greenville, NC",9252,170903,3540
46780,"Van Wert, OH",662,24248,475
26780,"Hutchinson, MN",1829,37718,1001
10660,"Albert Lea, MN",2706,29788,791
18300,"Coos Bay, OR",3391,63112,1648
28620,"Kill Devil Hills, NC",2450,38137,1931
28020,"Kalamazoo-Portage, MI",17866,327187,6868
27940,"Juneau, AK",1588,31275,1113
21540,"Escanaba, MI",320,37987,1104
28060,"Kalispell, MT",2159,93609,3880
28660,"Killeen-Temple, TX",83479,407188,5932
16820,"Charlottesville, VA",9836,216188,5787
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",22428,386058,10594
38840,"Port Clinton, OH",1908,43502,1034
35420,"New Philadelphia-Dover, OH",1779,101794,2267
33780,"Monroe, MI",5160,159523,2462
27020,"Iron Mountain, MI-WI",303,29952,1014
48020,"Watertown-Fort Atkinson, WI",5051,75521,1852
32140,"Marshall, MN",1551,27249,830
40180,"Riverton, WY",2264,40124,1339
29420,"Lake Havasu City-Kingman, AZ",29540,199445,3600
21140,"Elkhart-Goshen, IN",27739,198091,4872
44780,"Sturgis, MI",4033,61796,1192
34380,"Mount Pleasant, MI",2155,67206,1384
12380,"Austin, MN",4163,39388,887
16260,"Cedar City, UT",3561,46104,1183
39460,"Punta Gorda, FL",9168,158596,3413
30620,"Lima, OH",2648,114312,2641
14700,"Branson, MO",3018,81051,2372
27780,"Johnstown, PA",2008,144655,3408
35140,"Newberry, SC",2718,39934,728
40540,"Rock Springs, WY",6689,43789,1341
11940,"Athens, TN",1448,49856,855
11640,"Arecibo, PR",199719,201216,0
14100,"Bloomsburg-Berwick, PA",1823,89542,1870
33300,"Milledgeville, GA",1066,53906,888
19860,"Dickinson, ND",458,24985,1051
28260,"Kearney, NE",3690,53306,1689
18620,"Corsicana, TX",11252,47014,909
42100,"Santa Cruz-Watsonville, CA",94472,280225,6836
24980,"Grenada, MS",195,21861,542
19620,"Del Rio, TX",39181,48811,780
26140,"Homosassa Springs, FL",6570,140939,2639
10940,"Alma, MI",2354,45082,739
